# Generated at: 2025-10-29 09:18
factor,value
col_0_ols,-0.857927
col_1_ols,0.204012
col_2_ols,-0.779390
col_3_ols,-0.334989
col_4_ols,0.699973
col_5_ols,0.454218
col_6_ols,-0.678128
col_7_ols,-0.429252
col_8_ols,0.104623
col_9_ols,0.817572
col_10_ols,-0.008766
col_11_ols,-0.576895
col_12_ols,-0.120991
col_13_ols,0.350562
col_14_ols,0.689917
col_15_ols,0.100656
col_16_ols,-0.651802
col_17_ols,-0.185239
col_18_ols,0.734313
col_19_ols,0.172704
col_20_ols,-0.211066
col_21_ols,-0.203573
col_22_ols,0.138733
col_23_ols,0.146667
col_24_ols,-0.428687
col_25_ols,-0.013547
col_26_ols,0.246831
col_27_ols,0.129174
col_28_ols,-0.102749
col_29_ols,0.480668
col_30_ols,1.132897
col_31_ols,-0.037862
col_32_ols,0.034731
col_33_ols,-1.052427
col_34_ols,1.223909
col_35_ols,-1.266777
col_36_ols,-0.028707
col_37_ols,1.013395
col_38_ols,-0.677986
col_39_ols,0.764723
col_40_ols,-0.004711
col_41_ols,-0.209052
col_42_ols,0.999198
col_43_ols,-0.312723
col_44_ols,-0.645621
col_45_ols,-0.061514
col_46_ols,-0.241986
col_47_ols,0.431553
col_48_ols,0.311840
col_49_ols,-0.224149
col_50_ols,-0.019577
col_51_ols,0.551432
col_52_ols,0.234763
col_53_ols,-0.072965
col_54_ols,-0.882466
col_55_ols,-1.216797
col_56_ols,-0.570961
col_57_ols,1.106345
col_58_ols,0.348847
col_59_ols,0.157919
col_60_ols,0.320721
col_61_ols,-0.540683
col_62_ols,0.139483
col_63_ols,-0.472646
col_64_ols,0.658158
col_65_ols,0.676708
col_66_ols,0.523561
col_67_ols,0.361622
col_68_ols,-0.550376
col_69_ols,-0.819935
col_70_ols,-1.093514
col_71_ols,-0.393216
col_72_ols,-0.340089
col_73_ols,-0.211117
col_74_ols,0.254027
col_75_ols,0.621474
col_76_ols,-0.136075
col_77_ols,0.297058
col_78_ols,-1.078606
col_79_ols,-0.558547
col_80_ols,0.378097
col_81_ols,-0.511477
col_82_ols,-0.120779
col_83_ols,-0.465885
col_84_ols,1.154840
col_85_ols,-0.077076
col_86_ols,-0.074539
col_87_ols,0.576562
col_88_ols,-0.286219
col_89_ols,-0.467988
col_90_ols,-0.105721
col_91_ols,-0.346500
col_92_ols,-0.169874
col_93_ols,-0.137970
col_94_ols,-0.097771
col_95_ols,0.373016
col_96_ols,0.036203
col_97_ols,-0.394273
col_98_ols,0.019105
col_99_ols,-0.570629
col_100_ols,0.340841
col_101_ols,1.006147
col_102_ols,0.090496
col_103_ols,-0.501096
col_104_ols,0.410716
col_105_ols,-0.754440
col_106_ols,-0.219480
col_107_ols,-0.073226
col_108_ols,-0.525563
col_109_ols,0.246393
col_110_ols,-0.693486
col_111_ols,-0.263896
col_112_ols,-0.805698
col_113_ols,0.240360
col_114_ols,-0.156271
col_115_ols,-0.597072
col_116_ols,-0.070102
col_117_ols,0.037107
col_118_ols,-0.368803
col_119_ols,0.313932
col_120_ols,0.477570
col_121_ols,-0.260158
col_122_ols,-0.518470
col_123_ols,0.683526
col_124_ols,0.397073
col_125_ols,-0.013925
col_126_ols,-0.063343
col_127_ols,0.177201
col_128_ols,0.529036
col_129_ols,-0.672815
col_130_ols,0.117083
col_131_ols,-0.201114
col_132_ols,0.281902
col_133_ols,-0.325420
col_134_ols,-0.385852
col_135_ols,0.814857
col_136_ols,-0.076144
col_137_ols,-0.602989
col_138_ols,-0.069771
col_139_ols,-0.028703
col_140_ols,0.821203
col_141_ols,0.419345
col_142_ols,0.544430
col_143_ols,0.398054
col_144_ols,-0.073860
col_145_ols,0.352111
col_146_ols,-0.496758
col_147_ols,0.928358
col_148_ols,0.059521
col_149_ols,0.651164
col_150_ols,1.252558
col_151_ols,-0.198893
col_152_ols,-0.063231
col_153_ols,-0.630482
col_154_ols,-0.941310
col_155_ols,-0.014109
col_156_ols,0.361902
col_157_ols,0.250074
col_158_ols,-0.420480
col_159_ols,0.430883
col_160_ols,-0.780137
col_161_ols,0.565176
col_162_ols,0.020739
col_163_ols,-0.509781
col_164_ols,0.254784
col_165_ols,0.946220
col_166_ols,-0.494688
col_167_ols,-0.540590
col_168_ols,0.153260
col_169_ols,0.434810
col_170_ols,-0.524905
col_171_ols,0.109267
col_172_ols,0.507613
col_173_ols,0.184110
col_174_ols,-0.364782
col_175_ols,-0.088036
col_176_ols,-0.998504
