函数名,调用次数,总耗时(ms),平均耗时(ms),最小耗时(ms),最大耗时(ms)
数据读取,1,15728.86,15728.86,15728.86,15728.86
barra_cne5_1_beta::Update,5,492.72,98.54,77.78,105.61
Update::更新beta值窗口,5,384.75,76.95,62.09,82.61
barra_cne5_1_beta::Init,1,226.43,226.43,226.43,226.43
Init::构建beta值窗口,1,172.96,172.96,172.96,172.96
Update::构建市场收益率,5,61.33,12.27,8.68,13.98
Update::winsor处理,5,39.04,7.81,5.76,8.52
Init::构建市场收益率,1,29.41,29.41,29.41,29.41
Init::winsor处理,1,20.11,20.11,20.11,20.11
Update::分位数缩尾,5,0.54,0.11,0.10,0.12
Update::标准化,5,0.28,0.06,0.05,0.07
Init::分位数缩尾,1,0.11,0.11,0.11,0.11
Init::标准化,1,0.05,0.05,0.05,0.05
Update::有效性检测,5,0.03,0.01,0.01,0.01
Init::有效性检测,1,0.01,0.01,0.01,0.01
