函数名,调用次数,总耗时(ms),平均耗时(ms),最小耗时(ms),最大耗时(ms)
barra_cne5_1_beta1::Update,6,11.11,1.85,1.32,2.93
Update::更新beta值窗口,6,8.57,1.43,0.99,2.44
数据读取,1,0.90,0.90,0.90,0.90
barra_cne5_1_beta1::Init,1,0.13,0.13,0.13,0.13
Init::构建beta值窗口,1,0.07,0.07,0.07,0.07
Update::分位数缩尾,6,0.05,0.01,0.01,0.01
Update::标准化,6,0.02,0.00,0.00,0.01
Update::winsor处理,6,0.01,0.00,0.00,0.00
Init::分位数缩尾,1,0.01,0.01,0.01,0.01
Init::winsor处理,1,0.00,0.00,0.00,0.00
Init::构建市场收益率,1,0.00,0.00,0.00,0.00
Init::标准化,1,0.00,0.00,0.00,0.00
Update::构建市场收益率,6,0.00,0.00,0.00,0.00
Init::有效性检测,1,0.00,0.00,0.00,0.00
Update::有效性检测,6,0.00,0.00,0.00,0.00
