# Generated at: 2025-11-13 08:58
time_index,step,operation,elapsed_ms,stock_0_mut_ty_log1
19,0,init,0.221,0.000000
21,1,update,0.020,nan
23,2,update,0.014,-4.242641
25,3,update,0.013,-4.242641
27,4,update,0.013,-4.242641
29,5,update,0.013,-4.242641
31,6,update,0.013,-3.427201
33,7,update,0.013,-3.576447
35,8,update,0.013,-3.576447
37,9,update,0.013,-3.576447
39,10,update,0.013,-3.576447
41,11,update,0.012,-4.114868
43,12,update,0.012,-4.114868
45,13,update,0.012,-2.984535
47,14,update,0.012,-2.984535
49,15,update,0.012,-3.057227
51,16,update,0.012,-4.242641
53,17,update,0.012,-4.242641
55,18,update,0.012,-4.242641
57,19,update,0.012,-4.242641
59,20,update,0.012,-4.242641
61,21,update,0.012,-4.242641
63,22,update,0.012,nan
65,23,update,0.007,nan
67,24,update,0.007,nan
69,25,update,0.007,nan
71,26,update,0.007,nan
73,27,update,0.007,nan
75,28,update,0.007,-4.242641
77,29,update,0.007,-4.242641
79,30,update,0.007,-4.242641
81,31,update,0.007,-4.223424
83,32,update,0.008,-4.223424
85,33,update,0.006,-4.223424
87,34,update,0.006,-4.223424
89,35,update,0.006,-4.223424
91,36,update,0.006,-4.223424
93,37,update,0.006,-4.015448
95,38,update,0.006,-4.015448
97,39,update,0.006,-4.015448
99,40,update,0.006,-4.242641
101,41,update,0.006,-4.241046
103,42,update,0.006,-4.241046
105,43,update,0.006,-4.241046
107,44,update,0.006,-4.110876
109,45,update,0.006,-4.110876
111,46,update,0.006,-4.242608
113,47,update,0.006,-4.242608
115,48,update,0.006,-3.615770
117,49,update,0.006,-3.615770
119,50,update,0.006,-3.170210
121,51,update,0.006,-3.170210
123,52,update,0.006,-3.170210
125,53,update,0.007,-2.710710
127,54,update,0.007,-2.710710
129,55,update,0.010,-2.710710
131,56,update,0.006,-3.130520
133,57,update,0.007,-3.644656
135,58,update,0.007,-3.644656
137,59,update,0.006,-2.726538
139,60,update,0.006,-2.726538
141,61,update,0.006,-2.726538
143,62,update,0.007,-2.726538
145,63,update,0.007,-2.162820
147,64,update,0.009,-2.162820
149,65,update,0.007,-2.941142
151,66,update,0.007,-2.937102
153,67,update,0.007,-2.937102
155,68,update,0.007,-2.800978
157,69,update,0.007,-2.800978
159,70,update,0.007,-2.800978
161,71,update,0.007,-2.059968
163,72,update,0.007,-2.692847
165,73,update,0.007,-2.692847
167,74,update,0.007,-2.692847
169,75,update,0.007,-2.707264
171,76,update,0.007,-2.707264
173,77,update,0.007,-2.828053
175,78,update,0.007,-2.828053
177,79,update,0.007,-2.828053
179,80,update,0.007,-4.242641
181,81,update,0.007,-4.242641
183,82,update,0.007,-4.242641
185,83,update,0.007,-4.242641
187,84,update,0.007,-4.242641
189,85,update,0.007,-4.242641
191,86,update,0.010,nan
193,87,update,0.008,-4.242641
195,88,update,0.008,-3.192564
197,89,update,0.008,-3.192564
199,90,update,0.007,-2.702438
201,91,update,0.008,-2.702438
203,92,update,0.008,-2.484634
205,93,update,0.008,-2.484634
207,94,update,0.008,-2.468245
209,95,update,0.008,-2.468245
211,96,update,0.008,-3.144660
213,97,update,0.007,-2.699060
215,98,update,0.007,-3.619807
217,99,update,0.007,-3.991897
219,100,update,0.007,-3.991897
221,101,update,0.015,-4.211824
223,102,update,0.008,-4.211824
225,103,update,0.007,-4.242641
227,104,update,0.007,-4.242641
229,105,update,0.008,-4.242641
231,106,update,0.007,-2.760101
233,107,update,0.008,-4.242641
235,108,update,0.007,-4.242641
237,109,update,0.007,-4.242641
239,110,update,0.007,-4.215609
241,111,update,0.008,-4.215609
243,112,update,0.008,-4.215609
245,113,update,0.007,-2.734665
247,114,update,0.007,-2.734665
249,115,update,0.007,-4.222941
251,116,update,0.008,-4.222941
253,117,update,0.007,-4.222941
255,118,update,0.009,-4.222941
257,119,update,0.008,-4.242641
259,120,update,0.008,-4.242641
261,121,update,0.008,-4.242641
263,122,update,0.008,-4.242641
265,123,update,0.008,-4.242641
267,124,update,0.008,-2.935412
269,125,update,0.008,-2.935412
271,126,update,0.008,-2.935412
273,127,update,0.008,-2.935412
275,128,update,0.009,-2.935412
277,129,update,0.007,-2.096406
279,130,update,0.008,-2.096406
281,131,update,0.008,-1.986964
283,132,update,0.007,-1.986964
285,133,update,0.007,-2.713865
287,134,update,0.007,-2.713865
289,135,update,0.007,-2.713865
291,136,update,0.009,-2.713865
293,137,update,0.007,-2.713865
295,138,update,0.007,-3.982805
297,139,update,0.007,-3.982805
299,140,update,0.008,-4.242641
301,141,update,0.008,-4.242641
303,142,update,0.008,-4.242641
305,143,update,0.007,-4.242641
307,144,update,0.007,-4.242641
309,145,update,0.008,-4.242641
311,146,update,0.007,-3.810815
313,147,update,0.007,-4.242641
315,148,update,0.007,-4.242641
317,149,update,0.007,-4.242641
319,150,update,0.010,-3.560951
321,151,update,0.008,-3.560951
323,152,update,0.008,-3.560951
325,153,update,0.008,-3.560951
327,154,update,0.008,-3.560951
329,155,update,0.007,-4.242641
331,156,update,0.008,-4.242641
333,157,update,0.008,-4.242641
335,158,update,0.008,-4.242641
337,159,update,0.008,nan
339,160,update,0.009,-4.242641
341,161,update,0.007,-3.410721
343,162,update,0.008,-3.410721
345,163,update,0.008,-3.410721
347,164,update,0.007,-3.410721
349,165,update,0.007,-3.410721
351,166,update,0.007,-3.410721
353,167,update,0.007,-2.941504
355,168,update,0.007,-2.941504
357,169,update,0.007,-3.587216
359,170,update,0.007,-4.242641
361,171,update,0.007,-4.242641
363,172,update,0.007,-3.179022
365,173,update,0.007,-3.179022
367,174,update,0.007,-3.179022
369,175,update,0.007,-3.179022
371,176,update,0.007,-4.242641
373,177,update,0.007,-2.745065
375,178,update,0.007,-2.745065
377,179,update,0.007,-2.745065
379,180,update,0.007,-2.745065
381,181,update,0.007,-4.242641
383,182,update,0.008,-4.242641
385,183,update,0.008,-3.409978
387,184,update,0.008,-3.409978
389,185,update,0.008,-3.409978
391,186,update,0.007,-4.242641
393,187,update,0.007,-4.242641
395,188,update,0.008,-3.926842
397,189,update,0.008,-2.825841
399,190,update,0.008,-2.825841
401,191,update,0.008,-2.825841
403,192,update,0.009,-3.551449
405,193,update,0.008,-3.551449
407,194,update,0.008,-2.540445
409,195,update,0.008,-2.540445
411,196,update,0.007,-2.540445
413,197,update,0.007,-1.998921
415,198,update,0.008,-2.712645
417,199,update,0.007,-2.698315
419,200,update,0.007,-2.698315
421,201,update,0.015,-2.698315
423,202,update,0.008,-2.698315
425,203,update,0.008,-4.202892
427,204,update,0.008,-4.202892
429,205,update,0.008,-4.051478
431,206,update,0.008,-3.280951
433,207,update,0.008,-3.280951
435,208,update,0.008,-4.242641
437,209,update,0.008,-4.242641
439,210,update,0.008,-2.801086
441,211,update,0.008,-2.801086
443,212,update,0.008,-2.801086
445,213,update,0.008,-2.801086
447,214,update,0.009,-4.242641
449,215,update,0.009,-4.242641
451,216,update,0.008,-4.242641
453,217,update,0.008,-2.798338
455,218,update,0.008,-2.798338
457,219,update,0.008,-4.242641
459,220,update,0.008,-4.242641
461,221,update,0.008,-4.242641
463,222,update,0.008,-4.242641
465,223,update,0.008,-4.242641
467,224,update,0.028,-3.984841
469,225,update,0.028,-3.984841
471,226,update,0.014,-4.242641
473,227,update,0.008,-4.242641
475,228,update,0.008,-4.242641
477,229,update,0.008,-4.242641
479,230,update,0.008,-4.242641
481,231,update,0.008,-4.242641
483,232,update,0.008,-3.441411
485,233,update,0.008,-4.242641
487,234,update,0.008,-4.242641
489,235,update,0.008,-4.242641
491,236,update,0.008,-3.782928
493,237,update,0.008,-3.782928
495,238,update,0.008,-2.831464
497,239,update,0.008,-2.831464
499,240,update,0.007,-2.831464
501,241,update,0.008,-2.631934
503,242,update,0.008,-2.631934
505,243,update,0.008,-2.631934
507,244,update,0.008,-2.631934
509,245,update,0.008,-2.959022
511,246,update,0.009,-2.236038
513,247,update,0.008,-2.997281
515,248,update,0.008,-2.997281
517,249,update,0.008,-2.872944
519,250,update,0.008,-3.741413
521,251,update,0.007,-3.741413
523,252,update,0.007,-3.741413
525,253,update,0.007,-2.566205
527,254,update,0.008,-2.566205
529,255,update,0.007,-3.472376
531,256,update,0.010,-2.391206
533,257,update,0.008,-2.391206
535,258,update,0.007,-2.768722
537,259,update,0.008,-2.641853
539,260,update,0.007,-2.641853
541,261,update,0.007,-2.641853
543,262,update,0.007,-3.415636
545,263,update,0.007,-3.415636
547,264,update,0.008,-3.415636
549,265,update,0.007,-3.913794
551,266,update,0.007,-3.913794
553,267,update,0.007,-3.913794
555,268,update,0.007,-4.242641
557,269,update,0.010,-4.242641
559,270,update,0.008,-4.242641
561,271,update,0.008,-2.854641
563,272,update,0.008,-2.854641
565,273,update,0.008,-2.854641
567,274,update,0.008,-4.242641
569,275,update,0.007,-4.242641
571,276,update,0.008,-4.242641
573,277,update,0.007,-3.517455
575,278,update,0.010,-3.517455
577,279,update,0.008,-3.517455
579,280,update,0.008,-4.242641
581,281,update,0.008,-3.644137
583,282,update,0.008,-2.975890
585,283,update,0.008,-2.975890
587,284,update,0.008,-2.975890
589,285,update,0.008,-2.379261
591,286,update,0.008,-2.475435
593,287,update,0.008,-2.475435
595,288,update,0.009,-2.475435
597,289,update,0.008,-2.475435
599,290,update,0.008,-3.232677
