# Generated at: 2025-11-12 10:02
time_index,step,operation,elapsed_ms,stock_0_mut_ty_log1
19,0,init,1.413,-0.000000
21,1,update,1.020,-0.000000
23,2,update,0.000,-4.242641
25,3,update,0.000,-4.242641
27,4,update,1.166,-4.242641
29,5,update,7.655,-4.242641
31,6,update,0.000,-3.427201
33,7,update,1.022,-3.576447
35,8,update,1.007,-3.576447
37,9,update,1.090,-4.114868
39,10,update,1.189,-4.114868
41,11,update,1.187,-4.114868
43,12,update,1.393,-4.114868
45,13,update,1.045,-3.057227
47,14,update,0.999,-4.242641
49,15,update,0.000,-4.242641
51,16,update,0.000,-4.242641
53,17,update,0.000,-4.242641
55,18,update,1.055,-4.242641
57,19,update,1.196,-4.242641
59,20,update,0.000,-0.000000
61,21,update,1.121,-0.000000
63,22,update,1.025,-0.000000
65,23,update,0.000,-0.000000
67,24,update,0.000,-0.000000
69,25,update,1.009,-0.000000
71,26,update,1.156,-0.000000
73,27,update,0.000,-0.000000
75,28,update,1.504,-4.242641
77,29,update,1.013,-4.242641
79,30,update,1.266,-4.242641
81,31,update,1.092,-4.223424
83,32,update,0.000,-4.223424
85,33,update,1.019,-4.223424
87,34,update,1.050,-4.223424
89,35,update,0.000,-4.242641
91,36,update,1.008,-4.242641
93,37,update,0.000,-4.015448
95,38,update,0.000,-4.242641
97,39,update,1.051,-4.242641
99,40,update,1.061,-4.242641
101,41,update,0.000,-4.241046
103,42,update,1.010,-4.241046
105,43,update,0.000,-4.241046
107,44,update,0.000,-4.242608
109,45,update,2.027,-4.242608
111,46,update,1.258,-4.242608
113,47,update,1.149,-4.242608
115,48,update,1.019,-3.615565
117,49,update,1.057,-3.615565
119,50,update,0.000,-3.170210
121,51,update,0.000,-2.710710
123,52,update,1.012,-2.710710
125,53,update,0.000,-2.710710
127,54,update,1.423,-2.710710
129,55,update,0.000,-4.242641
131,56,update,1.456,-3.644656
133,57,update,0.000,-4.242641
135,58,update,0.000,-4.242641
137,59,update,1.009,-2.726538
139,60,update,0.000,-2.726538
141,61,update,1.353,-2.726538
143,62,update,0.000,-2.726538
145,63,update,1.331,-2.941142
147,64,update,1.046,-2.941142
149,65,update,1.015,-2.941142
151,66,update,0.997,-4.221507
153,67,update,1.331,-4.221507
155,68,update,1.477,-2.800978
157,69,update,1.000,-2.800978
159,70,update,1.188,-4.206511
161,71,update,0.000,-2.692847
163,72,update,1.319,-2.692847
165,73,update,1.049,-2.707264
167,74,update,0.000,-2.707264
169,75,update,1.009,-4.242641
171,76,update,0.000,-4.242641
173,77,update,1.503,-2.828053
175,78,update,0.000,-4.242641
177,79,update,0.000,-4.242641
179,80,update,1.009,-4.242641
181,81,update,0.000,-4.242641
183,82,update,1.380,-4.242641
185,83,update,0.000,-4.242641
187,84,update,1.259,-0.000000
189,85,update,1.120,-0.000000
191,86,update,1.496,-0.000000
193,87,update,1.287,-4.242641
195,88,update,1.001,-3.192564
197,89,update,1.101,-3.192564
199,90,update,0.998,-2.702438
201,91,update,1.161,-2.702438
203,92,update,0.000,-2.484634
205,93,update,1.332,-2.484634
207,94,update,0.000,-3.144660
209,95,update,0.000,-2.699060
211,96,update,1.011,-2.699060
213,97,update,0.000,-3.625217
215,98,update,0.000,-3.991897
217,99,update,1.058,-4.211824
219,100,update,0.000,-4.211824
221,101,update,1.147,-4.242641
223,102,update,1.144,-4.242641
225,103,update,0.000,-4.242641
227,104,update,1.169,-4.242641
229,105,update,1.133,-0.000000
231,106,update,0.996,-4.242641
233,107,update,0.000,-4.242641
235,108,update,0.000,-4.242641
237,109,update,1.281,-4.242641
239,110,update,1.026,-4.215609
241,111,update,1.008,-4.215609
243,112,update,0.000,-4.215609
245,113,update,0.000,-4.222941
247,114,update,1.011,-4.222941
249,115,update,0.000,-4.222941
251,116,update,1.412,-4.222941
253,117,update,0.000,-4.242641
255,118,update,1.292,-4.242641
257,119,update,0.000,-4.242641
259,120,update,1.321,-0.000000
261,121,update,0.000,-0.000000
263,122,update,0.000,-4.242641
265,123,update,1.025,-4.242641
267,124,update,0.000,-2.935412
269,125,update,1.460,-2.935412
271,126,update,0.000,-2.935412
273,127,update,2.168,-2.935412
275,128,update,1.044,-2.935412
277,129,update,1.018,-2.755116
279,130,update,0.000,-2.755116
281,131,update,0.000,-2.713865
283,132,update,1.009,-2.713865
285,133,update,1.047,-2.713865
287,134,update,0.000,-2.713865
289,135,update,0.000,-2.713865
291,136,update,1.173,-4.242641
293,137,update,0.000,-4.242641
295,138,update,1.015,-4.242641
297,139,update,1.208,-4.242641
299,140,update,0.000,-4.242641
301,141,update,1.292,-4.242641
303,142,update,1.093,-4.242641
305,143,update,0.000,-4.242641
307,144,update,0.000,-4.242641
309,145,update,1.011,-0.000000
311,146,update,1.270,-4.242641
313,147,update,0.000,-4.242641
315,148,update,0.000,-4.242641
317,149,update,0.000,-4.242641
319,150,update,1.276,-3.560951
321,151,update,1.156,-3.560951
323,152,update,0.000,-3.560951
325,153,update,1.014,-4.242641
327,154,update,1.135,-4.242641
329,155,update,0.000,-4.242641
331,156,update,1.179,-4.242641
333,157,update,1.065,-0.000000
335,158,update,0.000,-0.000000
337,159,update,1.024,-0.000000
339,160,update,0.000,-4.242641
341,161,update,1.034,-3.410721
343,162,update,0.000,-3.410721
345,163,update,0.000,-3.410721
347,164,update,1.009,-3.410721
349,165,update,0.995,-3.410721
351,166,update,1.070,-3.410721
353,167,update,1.433,-3.587216
355,168,update,1.027,-4.242641
